Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"IC","Credit to Agriculture","214","Dominican Republic","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","894.420305","A","Official figure"
"IC","Credit to Agriculture","218","Ecuador","6110","Value US$","23018","Total Credit","2021","2021","million USD","2313.4341","A","Official figure"
"IC","Credit to Agriculture","218","Ecuador","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","330.343043","A","Official figure"
"IC","Credit to Agriculture","818","Egypt","6110","Value US$","23018","Total Credit","2021","2021","million USD","122346.57547","A","Official figure"
"IC","Credit to Agriculture","818","Egypt","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","3011.601521","A","Official figure"
"IC","Credit to Agriculture","818","Egypt","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","3011.59627","A","Official figure"
"IC","Credit to Agriculture","222","El Salvador","6110","Value US$","23018","Total Credit","2021","2021","million USD","15847.729687","A","Official figure"
"IC","Credit to Agriculture","222","El Salvador","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","403.838555","A","Official figure"
"IC","Credit to Agriculture","233","Estonia","6110","Value US$","23018","Total Credit","2021","2021","million USD","9832.949731","A","Official figure"
"IC","Credit to Agriculture","233","Estonia","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","722.181352","A","Official figure"
"IC","Credit to Agriculture","231","Ethiopia","6110","Value US$","23018","Total Credit","2021","2021","million USD","29343.066461","A","Official figure"
"IC","Credit to Agriculture","231","Ethiopia","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","727.666016","A","Official figure"
"IC","Credit to Agriculture","231","Ethiopia","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","727.666376","A","Official figure"
"IC","Credit to Agriculture","246","Finland","6110","Value US$","23018","Total Credit","2021","2021","million USD","117995.8517","A","Official figure"
"IC","Credit to Agriculture","246","Finland","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","2387.127407","A","Official figure"
"IC","Credit to Agriculture","250","France","6110","Value US$","23018","Total Credit","2021","2021","million USD","1451895.5782","A","Official figure"
"IC","Credit to Agriculture","250","France","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","70298.547358","A","Official figure"
"IC","Credit to Agriculture","270","Gambia","6110","Value US$","23018","Total Credit","2021","2021","million USD","181.826728","A","Official figure"
"IC","Credit to Agriculture","270","Gambia","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","0.583089","A","Official figure"
"IC","Credit to Agriculture","270","Gambia","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","0.468103","A","Official figure"
"IC","Credit to Agriculture","270","Gambia","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","0.114986","A","Official figure"
"IC","Credit to Agriculture","268","Georgia","6110","Value US$","23018","Total Credit","2021","2021","million USD","6537.279765","A","Official figure"
"IC","Credit to Agriculture","268","Georgia","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","195.235228","A","Official figure"
"IC","Credit to Agriculture","276","Germany","6110","Value US$","23018","Total Credit","2021","2021","million USD","2012462.5367","A","Official figure"
"IC","Credit to Agriculture","276","Germany","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","66119.925156","A","Official figure"
"IC","Credit to Agriculture","288","Ghana","6110","Value US$","23018","Total Credit","2021","2021","million USD","9261.126135","A","Official figure"
"IC","Credit to Agriculture","288","Ghana","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","301.756894","A","Official figure"
"IC","Credit to Agriculture","300","Greece","6110","Value US$","23018","Total Credit","2021","2021","million USD","85526.39522","A","Official figure"
"IC","Credit to Agriculture","300","Greece","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","1317.078536","A","Official figure"
"IC","Credit to Agriculture","300","Greece","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","1317.07832","A","Official figure"
"IC","Credit to Agriculture","308","Grenada","6110","Value US$","23018","Total Credit","2021","2021","million USD","694.488889","A","Official figure"
"IC","Credit to Agriculture","308","Grenada","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","8.851852","A","Official figure"
"IC","Credit to Agriculture","308","Grenada","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","6.862963","A","Official figure"
"IC","Credit to Agriculture","308","Grenada","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","1.992593","A","Official figure"
"IC","Credit to Agriculture","320","Guatemala","6110","Value US$","23018","Total Credit","2021","2021","million USD","30049.367247","A","Official figure"
"IC","Credit to Agriculture","320","Guatemala","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","1231.69626","A","Official figure"
"IC","Credit to Agriculture","624","Guinea-Bissau","6110","Value US$","23018","Total Credit","2021","2021","million USD","248.744994","A","Official figure"
"IC","Credit to Agriculture","624","Guinea-Bissau","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","3.377521","A","Official figure"
"IC","Credit to Agriculture","624","Guinea-Bissau","6110","Value US$","23067","Credit to Agriculture and Forestry","2021","2021","million USD","3.19151","A","Official figure"
"IC","Credit to Agriculture","624","Guinea-Bissau","6110","Value US$","23065","Credit to Forestry and Fishery","2021","2021","million USD","0.198636","A","Official figure"
"IC","Credit to Agriculture","624","Guinea-Bissau","6110","Value US$","23066","Credit to Agriculture and Fishery","2021","2021","million USD","3.3649","A","Official figure"
"IC","Credit to Agriculture","624","Guinea-Bissau","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","3.178886","A","Official figure"
"IC","Credit to Agriculture","624","Guinea-Bissau","6110","Value US$","23064","Credit to Forestry","2021","2021","million USD","0.012623","A","Official figure"
"IC","Credit to Agriculture","624","Guinea-Bissau","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","0.186013","A","Official figure"
"IC","Credit to Agriculture","328","Guyana","6110","Value US$","23018","Total Credit","2021","2021","million USD","897.582254","A","Official figure"
"IC","Credit to Agriculture","328","Guyana","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","79.230216","A","Official figure"
"IC","Credit to Agriculture","328","Guyana","6110","Value US$","23067","Credit to Agriculture and Forestry","2021","2021","million USD","64.115108","A","Official figure"
"IC","Credit to Agriculture","328","Guyana","6110","Value US$","23065","Credit to Forestry and Fishery","2021","2021","million USD","19.534293","A","Official figure"
"IC","Credit to Agriculture","328","Guyana","6110","Value US$","23066","Credit to Agriculture and Fishery","2021","2021","million USD","74.811031","A","Official figure"
"IC","Credit to Agriculture","328","Guyana","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","59.695923","A","Official figure"
"IC","Credit to Agriculture","328","Guyana","6110","Value US$","23064","Credit to Forestry","2021","2021","million USD","4.419185","A","Official figure"
"IC","Credit to Agriculture","328","Guyana","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","15.115108","A","Official figure"
"IC","Credit to Agriculture","340","Honduras","6110","Value US$","23018","Total Credit","2021","2021","million USD","16950.260208","A","Official figure"
"IC","Credit to Agriculture","340","Honduras","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","1009.73148","A","Official figure"
"IC","Credit to Agriculture","348","Hungary","6110","Value US$","23018","Total Credit","2021","2021","million USD","34224.301991","A","Official figure"
"IC","Credit to Agriculture","348","Hungary","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","1720.207626","A","Official figure"
"IC","Credit to Agriculture","356","India","6110","Value US$","23018","Total Credit","2021","2021","million USD","1523427.5819","A","Official figure"
"IC","Credit to Agriculture","356","India","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","186388.02457","A","Official figure"
"IC","Credit to Agriculture","356","India","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","186387.99225","A","Official figure"
"IC","Credit to Agriculture","360","Indonesia","6110","Value US$","23018","Total Credit","2021","2021","million USD","402330.12485","A","Official figure"
"IC","Credit to Agriculture","360","Indonesia","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","30700.480001","A","Official figure"
"IC","Credit to Agriculture","360","Indonesia","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","30700.385804","A","Official figure"
"IC","Credit to Agriculture","368","Iraq","6110","Value US$","23018","Total Credit","2021","2021","million USD","55597.035862","A","Official figure"
"IC","Credit to Agriculture","368","Iraq","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","1459.904828","A","Official figure"
"IC","Credit to Agriculture","372","Ireland","6110","Value US$","23018","Total Credit","2021","2021","million USD","83095.799615","A","Official figure"
"IC","Credit to Agriculture","372","Ireland","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","4686.017878","A","Official figure"
"IC","Credit to Agriculture","372","Ireland","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","4296.895546","A","Official figure"
"IC","Credit to Agriculture","372","Ireland","6110","Value US$","23064","Credit to Forestry","2021","2021","million USD","192.786671","A","Official figure"
"IC","Credit to Agriculture","372","Ireland","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","196.334891","A","Official figure"
"IC","Credit to Agriculture","376","Israel","6110","Value US$","23018","Total Credit","2021","2021","million USD","511553.59363","A","Official figure"
"IC","Credit to Agriculture","376","Israel","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","2605.941737","A","Official figure"
"IC","Credit to Agriculture","380","Italy","6110","Value US$","23018","Total Credit","2021","2021","million USD","878885.00687","A","Official figure"
"IC","Credit to Agriculture","380","Italy","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","48180.117186","A","Official figure"
"IC","Credit to Agriculture","388","Jamaica","6110","Value US$","23018","Total Credit","2021","2021","million USD","6673.117561","A","Official figure"
"IC","Credit to Agriculture","388","Jamaica","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","101.791213","A","Official figure"
"IC","Credit to Agriculture","392","Japan","6110","Value US$","23018","Total Credit","2021","2021","million USD","4992233.5405","A","Official figure"
"IC","Credit to Agriculture","392","Japan","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","9448.402792","A","Official figure"
"IC","Credit to Agriculture","392","Japan","6110","Value US$","23067","Credit to Agriculture and Forestry","2021","2021","million USD","7722.702581","A","Official figure"
"IC","Credit to Agriculture","392","Japan","6110","Value US$","23063","Credit to Fishery","2021","2021","million USD","1725.672332","A","Official figure"
"IC","Credit to Agriculture","400","Jordan","6110","Value US$","23018","Total Credit","2021","2021","million USD","42293.661972","A","Official figure"
"IC","Credit to Agriculture","400","Jordan","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","638.450704","A","Official figure"
"IC","Credit to Agriculture","400","Jordan","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","638.450704","A","Official figure"
"IC","Credit to Agriculture","398","Kazakhstan","6110","Value US$","23018","Total Credit","2021","2021","million USD","43431.100144","A","Official figure"
"IC","Credit to Agriculture","398","Kazakhstan","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","798.494041","A","Official figure"
"IC","Credit to Agriculture","398","Kazakhstan","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","798.494978","A","Official figure"
"IC","Credit to Agriculture","404","Kenya","6110","Value US$","23018","Total Credit","2021","2021","million USD","27848.008902","A","Official figure"
"IC","Credit to Agriculture","404","Kenya","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","856.454879","A","Official figure"
"IC","Credit to Agriculture","417","Kyrgyzstan","6110","Value US$","23018","Total Credit","2021","2021","million USD","2147.702484","A","Official figure"
"IC","Credit to Agriculture","417","Kyrgyzstan","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2021","2021","million USD","391.985296","A","Official figure"
"IC","Credit to Agriculture","417","Kyrgyzstan","6110","Value US$","23019","Credit to Agriculture","2021","2021","million USD","391.985194","A","Official figure"
